calendarDate,vo2MaxValue,maxMet
2024-04-19,53.0,15.094161987304688
2024-04-20,53.0,15.094161987304688
2024-04-21,53.0,15.21240234375
2024-04-22,54.0,15.322067260742188
2024-04-23,54.0,15.322067260742188
2024-04-24,54.0,15.299362182617188
2024-04-25,54.0,15.299362182617188
2024-04-26,54.0,15.293869018554688
2024-04-27,54.0,15.293869018554688
2024-04-28,54.0,15.293869018554688
2024-04-29,53.0,15.2783203125
2024-04-30,53.0,15.2783203125
2024-05-01,53.0,15.262771606445312
2024-05-02,53.0,15.262771606445312
2024-05-03,53.0,15.262771606445312
2024-05-04,53.0,15.262771606445312
2024-05-05,53.0,15.262771606445312
2024-05-06,54.0,15.359405517578125
2024-05-07,54.0,15.359405517578125
2024-05-08,54.0,15.301025390625
2024-05-09,54.0,15.301025390625
2024-05-10,54.0,15.301025390625
2024-05-11,54.0,15.301025390625
2024-05-12,54.0,15.303695678710938
2024-05-13,54.0,15.303695678710938
2024-05-14,54.0,15.322219848632812
2024-05-15,54.0,15.322219848632812
2024-05-16,54.0,15.322219848632812
2024-05-17,54.0,15.322219848632812
2024-05-18,54.0,15.322219848632812
2024-05-19,54.0,15.322219848632812
2024-05-20,53.0,15.260650634765625
2024-05-21,53.0,15.260650634765625
2024-05-22,53.0,15.247894287109375
2024-05-23,53.0,15.247894287109375
2024-05-24,53.0,15.247894287109375
2024-05-25,53.0,15.247894287109375
2024-05-26,53.0,15.247894287109375
2024-05-27,53.0,15.247894287109375
2024-05-28,53.0,15.247894287109375
2024-05-29,53.0,15.247894287109375
2024-05-30,53.0,15.247894287109375
2024-05-31,53.0,15.247894287109375
2024-06-01,53.0,15.247894287109375
2024-06-02,53.0,15.247894287109375
2024-06-03,53.0,15.247894287109375
2024-06-04,54.0,15.300567626953125
2024-06-05,54.0,15.3232421875
2024-06-06,54.0,15.327896118164062
2024-06-07,54.0,15.327896118164062
2024-06-08,54.0,15.325332641601562
2024-06-09,54.0,15.325332641601562
2024-06-10,54.0,15.325332641601562
2024-06-11,54.0,15.402053833007812
2024-06-12,54.0,15.439804077148438
2024-06-13,54.0,15.461135864257812
2024-06-14,54.0,15.461135864257812
2024-06-15,54.0,15.475784301757812
2024-06-16,54.0,15.475784301757812
2024-06-17,54.0,15.475784301757812
2024-06-18,54.0,15.534927368164062
2024-06-19,54.0,15.539016723632812
2024-06-20,54.0,15.55084228515625
2024-06-21,54.0,15.55084228515625
2024-06-22,55.0,15.602890014648438
2024-06-23,55.0,15.602890014648438
2024-06-24,55.0,15.602890014648438
2024-06-25,55.0,15.665069580078125
2024-06-26,55.0,15.6785888671875
2024-06-27,55.0,15.724853515625
2024-06-28,55.0,15.724853515625
2024-06-29,55.0,15.724853515625
2024-06-30,55.0,15.724853515625
2024-07-01,55.0,15.724853515625
2024-07-02,55.0,15.718353271484375
2024-07-03,55.0,15.73883056640625
2024-07-04,55.0,15.709823608398438
2024-07-05,55.0,15.709823608398438
2024-07-06,55.0,15.683975219726562
2024-07-07,55.0,15.683975219726562
2024-07-08,55.0,15.683975219726562
2024-07-09,55.0,15.693740844726562
2024-07-10,55.0,15.721893310546875
2024-07-11,55.0,15.695556640625
2024-07-12,55.0,15.695556640625
2024-07-13,55.0,15.695556640625
2024-07-14,55.0,15.708633422851562
2024-07-15,55.0,15.708633422851562
2024-07-16,55.0,15.718185424804688
2024-07-17,55.0,15.747055053710938
2024-07-18,55.0,15.747055053710938
2024-07-19,55.0,15.747055053710938
2024-07-20,55.0,15.747055053710938
2024-07-21,55.0,15.842575073242188
2024-07-22,55.0,15.842575073242188
2024-07-23,55.0,15.808624267578125
2024-07-24,55.0,15.83441162109375
2024-07-25,55.0,15.851547241210938
2024-07-26,55.0,15.851547241210938
2024-07-27,55.0,15.851547241210938
2024-07-28,55.0,15.851547241210938
