Activity_Type,Date,Month_Numeric,Month,Year,Week_of_Year,Title,Distance,Distance_Group,DistanceGroupId,Calories,Time,Weekly_Cumulative_Mins,Weekly_Mins_Prior_to_Run,Monthly_Cumulative_Mins,Monthly_Mins_Prior_to_Run,Avg_HR,Max_HR,Aerobic_TE,Avg_Run_Cadence,Max_Run_Cadence,Avg_Pace,Best_Pace,Total_Ascent,Total_Descent,Avg_Stride_Length,Avg_Vertical_Ratio,Avg_Vertical_Oscillation,Avg_Ground_Contact_Time,Normalized_Power_NP,Avg_Power,Max_Power,Steps,Moving_Time,Elapsed_Time,Min_Elevation,Max_Elevation,Idle_Time
Running,2024-10-13,10,Oct,2024,41,Charlotte Running,10.01,10-13 miles,5,"1,165",01:30:09,01:30:09,0.0,13:05:09,695.0,151,164,3.9,176,188,00:09:00,00:05:57,430,443,1.01,8.3,8.4,250,317,311,534,"15,872",01:29:53,01:30:09,649,785,00:00:16
Running,2024-10-10,10,Oct,2024,41,Charlotte Running,4.01,3-5 miles,2,479,00:33:27,02:03:36,90.15,13:38:36,785.15,165,180,3.5,178,186,00:08:21,00:07:02,299,276,1.08,7.9,8.5,244,347,337,500,"5,942",00:33:26,00:33:27,621,728,00:00:01
Running,2024-10-09,10,Oct,2024,41,Charlotte Running,7.01,7-10 miles,4,809,01:01:05,03:04:41,123.6,14:39:41,818.6,150,171,3.7,178,192,00:08:43,00:06:43,213,269,1.04,8.1,8.4,247,321,313,420,"10,830",01:00:46,01:01:05,711,784,00:00:19
Running,2024-10-08,10,Oct,2024,41,Charlotte Running,3.11,3-5 miles,2,381,00:29:28,03:34:09,184.68,15:09:09,879.68,154,167,3.0,173,186,00:09:29,00:08:33,236,236,0.98,8.6,8.4,258,310,300,440,"5,106",00:29:23,00:29:28,638,755,00:00:05
Running,2024-10-05,10,Oct,2024,40,Charlotte Running,13.1,13+ miles,6,"1,504",02:00:46,02:00:46,0.0,17:09:55,909.15,148,160,4.0,176,184,00:09:13,00:06:24,551,561,0.99,8.4,8.4,253,307,302,444,"21,198",02:00:37,02:00:46,671,776,00:00:09
Running,2024-10-03,10,Oct,2024,40,Charlotte Running,3.01,3-5 miles,2,322,00:20:53,02:21:39,120.77,17:30:48,1029.92,174,185,3.5,185,226,00:06:57,00:06:18,220,233,1.25,7.0,8.7,221,412,397,566,"3,826",00:20:52,00:20:53,665,766,00:00:01
Running,2024-10-02,10,Oct,2024,40,Charlotte Running,6.21,5-7 miles,3,760,00:56:03,03:17:42,141.65,18:26:51,1050.8,159,172,3.8,173,181,00:09:01,00:06:05,292,295,1.03,8.4,8.7,255,311,306,492,"9,712",00:55:58,00:56:03,690,794,00:00:05
Running,2024-09-27,9,Sep,2024,39,Isle of Palms Running,12.01,10-13 miles,5,"1,476",01:55:36,01:55:36,0.0,01:55:36,0.0,161,169,4.0,174,183,00:09:38,00:08:09,46,69,0.96,8.7,8.3,258,290,288,348,"20,084",01:55:28,01:56:08,-14,19,00:00:40
Running,2024-09-25,9,Sep,2024,39,Charlotte Running,3.1,3-5 miles,2,353,00:28:16,02:23:52,115.6,02:23:52,115.6,142,155,2.8,174,179,00:09:07,00:06:07,95,138,1.01,8.4,8.5,254,308,302,480,"4,928",00:28:11,00:28:16,736,788,00:00:05
Running,2024-09-24,9,Sep,2024,39,Charlotte Running,6.42,5-7 miles,3,749,00:55:25,03:19:17,143.87,03:19:17,143.87,154,175,3.7,177,189,00:08:38,00:06:18,200,249,1.05,8.1,8.5,247,323,316,473,"9,794",00:55:12,00:55:25,698,780,00:00:13
Running,2024-09-23,9,Sep,2024,39,Charlotte Running,3.1,3-5 miles,2,353,00:28:32,03:47:49,199.28,03:47:49,199.28,142,165,2.8,177,186,00:09:12,00:07:56,240,243,0.99,8.3,8.2,251,318,304,441,"5,046",00:28:09,00:28:32,663,767,00:00:23
Running,2024-09-21,9,Sep,2024,38,Charlotte Running,7.0,7-10 miles,4,871,01:04:01,01:04:01,0.0,04:51:50,227.82,161,175,3.9,175,184,00:09:08,00:06:41,236,262,1.0,8.4,8.5,254,305,302,430,"11,168",01:03:54,01:04:01,666,780,00:00:07
Running,2024-09-19,9,Sep,2024,38,Charlotte Running,3.1,3-5 miles,2,364,00:27:08,01:31:09,64.02,05:18:58,291.83,148,166,3.1,175,181,00:08:45,00:05:59,102,115,1.05,8.2,8.6,249,322,316,473,"4,756",00:26:58,00:27:08,730,783,00:00:10
Running,2024-09-18,9,Sep,2024,38,Charlotte Running,5.01,5-7 miles,3,575,00:41:21,02:12:30,91.15,06:00:19,318.97,161,182,3.7,176,194,00:08:16,00:05:52,174,220,1.1,8.0,8.7,244,348,334,534,"7,284",00:41:19,00:41:21,709,776,00:00:02
Running,2024-09-17,9,Sep,2024,38,Charlotte Running,3.13,3-5 miles,2,366,00:26:21,02:38:51,132.5,06:26:40,360.32,160,177,3.2,176,186,00:08:25,00:07:39,236,256,1.07,8.0,8.6,245,344,332,472,"4,666",00:26:21,00:26:21,642,757,00:00:00
Running,2024-09-14,9,Sep,2024,37,Charlotte Running,13.11,13+ miles,6,"1,572",02:00:52,02:00:52,0.0,08:27:32,386.67,156,178,4.3,174,188,00:09:13,00:06:28,617,705,1.0,8.5,8.5,256,314,306,479,"21,006",02:00:32,02:00:52,657,787,00:00:20
Running,2024-09-12,9,Sep,2024,37,Charlotte Running,3.11,3-5 miles,2,366,00:26:22,02:27:14,120.87,08:53:54,507.53,161,177,3.2,175,181,00:08:28,00:07:36,220,217,1.08,8.1,8.7,248,344,333,472,"4,604",00:26:20,00:26:22,670,778,00:00:02
Running,2024-09-11,9,Sep,2024,37,Charlotte Running,5.0,5-7 miles,3,584,00:44:23,03:11:37,147.23,09:38:17,533.9,148,164,3.4,174,181,00:08:52,00:05:22,148,203,1.04,8.3,8.6,252,316,311,585,"7,734",00:44:15,00:44:23,713,781,00:00:08
Running,2024-09-10,9,Sep,2024,37,Charlotte Running,3.1,3-5 miles,2,337,00:26:56,03:38:33,191.62,10:05:13,578.28,142,172,2.7,177,190,00:08:41,00:06:33,246,233,1.04,8.1,8.3,245,344,330,535,"4,802",00:26:47,00:32:52,662,785,00:06:05
Running,2024-09-07,9,Sep,2024,36,Mt Pleasant Running,9.41,7-10 miles,4,"1,123",01:19:43,01:19:43,0.0,11:24:56,605.22,167,181,4.7,176,186,00:08:28,00:06:22,49,46,1.08,8.0,8.6,246,326,322,488,"14,014",01:19:20,01:19:51,3,30,00:00:31
Running,2024-09-05,9,Sep,2024,36,Charlotte Running,3.01,3-5 miles,2,326,00:21:38,01:41:21,79.72,11:46:34,684.93,171,187,3.4,182,190,00:07:12,00:06:11,207,213,1.22,7.2,8.8,226,398,383,581,"3,912",00:21:37,00:21:38,688,787,00:00:01
Running,2024-09-04,9,Sep,2024,36,Charlotte Running,4.02,3-5 miles,2,446,00:33:34,02:14:55,101.35,12:20:08,706.57,149,167,3.3,175,185,00:08:22,00:05:27,135,131,1.09,8.0,8.7,244,338,331,490,"5,888",00:33:26,00:33:35,729,779,00:00:09
Running,2024-09-03,9,Sep,2024,36,Charlotte Running,3.1,3-5 miles,2,377,00:29:22,02:44:17,134.92,12:49:30,740.13,156,169,3.0,172,177,00:09:28,00:08:51,210,223,0.98,8.7,8.5,259,310,300,422,"5,054",00:29:18,00:29:22,656,769,00:00:04
Running,2024-08-31,8,Aug,2024,35,Charlotte Running,5.09,5-7 miles,3,631,00:48:26,00:48:26,0.0,00:48:26,0.0,156,177,3.4,173,180,00:09:31,00:05:50,210,220,0.97,8.7,8.4,259,297,292,490,"8,370",00:48:23,00:48:26,698,784,00:00:03
Running,2024-08-29,8,Aug,2024,35,Charlotte Running,3.11,3-5 miles,2,373,00:25:05,01:13:31,48.43,01:13:31,48.43,173,187,3.5,173,186,00:08:05,00:06:28,72,154,1.15,7.9,9.1,245,343,339,450,"4,354",00:24:58,00:25:05,696,778,00:00:07
Running,2024-08-28,8,Aug,2024,35,Charlotte Running,4.01,3-5 miles,2,458,00:37:09,01:50:40,73.52,01:50:40,73.52,143,163,3.0,173,179,00:09:16,00:05:36,167,174,1.02,8.5,8.6,256,309,303,532,"6,424",00:36:52,00:37:09,700,767,00:00:17
Running,2024-08-27,8,Aug,2024,35,Charlotte Running,3.1,3-5 miles,2,347,00:29:00,02:19:40,110.67,02:19:40,110.67,139,157,2.6,175,179,00:09:21,00:08:35,226,230,0.98,8.5,8.3,255,309,301,434,"5,078",00:28:55,00:29:00,654,757,00:00:05
Running,2024-08-24,8,Aug,2024,34,Charlotte Running,7.01,7-10 miles,4,844,00:58:38,00:58:38,0.0,03:18:18,139.67,167,185,4.6,170,186,00:08:22,00:05:24,177,220,1.12,7.9,8.9,245,342,330,542,"10,010",00:57:12,00:58:38,715,785,00:01:26
Running,2024-08-22,8,Aug,2024,34,Charlotte Running,3.1,3-5 miles,2,375,00:26:27,01:25:05,58.63,03:44:45,198.3,167,180,3.3,174,179,00:08:32,00:07:23,253,266,1.08,8.2,8.8,250,344,332,484,"4,578",00:26:22,00:26:27,659,776,00:00:05
Running,2024-08-21,8,Aug,2024,34,Charlotte Running,3.11,3-5 miles,2,342,00:25:43,01:50:48,85.08,04:10:28,224.75,145,166,3.1,172,184,00:08:17,00:05:16,108,105,1.12,8.0,8.9,245,346,337,565,"4,456",00:25:32,00:25:43,718,782,00:00:11
Running,2024-08-20,8,Aug,2024,34,Charlotte Running,3.1,3-5 miles,2,352,00:29:08,02:19:56,110.8,04:39:36,250.47,142,164,2.6,175,181,00:09:23,00:08:38,246,256,0.97,8.5,8.3,255,314,302,445,"5,106",00:29:02,00:29:08,656,766,00:00:06
Running,2024-08-17,8,Aug,2024,33,Charlotte Running,6.2,5-7 miles,3,736,00:57:55,00:57:55,0.0,05:37:31,279.6,149,164,3.4,174,181,00:09:21,00:05:49,151,167,0.99,8.6,8.5,256,299,296,487,"10,054",00:57:46,00:58:58,724,780,00:01:12
Running,2024-08-15,8,Aug,2024,33,Charlotte Running,3.1,3-5 miles,2,348,00:26:54,01:24:49,57.92,06:04:25,337.52,146,164,3.0,172,245,00:08:41,00:05:13,112,121,1.08,8.1,8.7,248,331,319,610,"4,634",00:26:32,00:26:54,726,781,00:00:22
Running,2024-08-14,8,Aug,2024,33,Charlotte Running,3.11,3-5 miles,2,369,00:26:33,01:51:22,84.82,06:30:58,364.42,160,174,3.3,172,188,00:08:33,00:06:02,95,128,1.09,8.2,9.0,252,329,321,482,"4,558",00:26:15,00:26:33,732,779,00:00:18
Running,2024-08-13,8,Aug,2024,33,Charlotte Running,3.11,3-5 miles,2,350,00:28:13,02:19:35,111.37,06:59:11,390.97,144,167,2.9,176,181,00:09:05,00:08:16,233,236,1.01,8.4,8.4,252,319,309,467,"4,960",00:28:06,00:28:13,654,764,00:00:07
Running,2024-08-07,8,Aug,2024,32,Charlotte Running,4.0,3-5 miles,2,485,00:33:44,00:33:44,0.0,07:32:55,419.18,170,185,3.7,176,186,00:08:25,00:07:22,285,312,1.08,8.0,8.6,245,341,331,524,"5,956",00:33:37,00:33:44,661,767,00:00:07
Running,2024-08-06,8,Aug,2024,32,Charlotte Running,3.1,3-5 miles,2,387,00:28:41,01:02:25,33.73,08:01:36,452.92,163,178,3.1,173,180,00:09:15,00:08:00,243,223,1.01,8.5,8.6,257,317,307,444,"4,946",00:28:34,00:28:41,668,774,00:00:07
Running,2024-08-01,8,Aug,2024,31,Charlotte Running,3.1,3-5 miles,2,356,00:26:42,00:26:42,0.0,08:28:18,481.6,149,168,3.1,174,184,00:08:36,00:05:30,98,128,1.08,8.1,8.7,247,330,321,521,"4,668",00:26:37,00:26:42,719,780,00:00:05
Running,2024-07-31,7,Jul,2024,31,Charlotte Running,7.09,7-10 miles,4,836,01:01:43,01:28:25,26.7,01:01:43,0.0,157,168,3.9,175,184,00:08:42,00:05:42,226,249,1.05,8.1,8.5,248,319,315,478,"10,864",01:01:40,01:01:43,693,771,00:00:03
Running,2024-07-30,7,Jul,2024,31,Charlotte Running,3.12,3-5 miles,2,354,00:28:31,01:56:56,88.42,01:30:14,61.72,144,165,2.8,174,180,00:09:09,00:08:21,226,233,1.01,8.4,8.5,254,318,308,443,"4,976",00:28:27,00:28:31,664,766,00:00:04
Running,2024-07-25,7,Jul,2024,30,Charlotte Running,3.1,3-5 miles,2,368,00:27:56,00:27:56,0.0,01:58:10,90.23,150,169,3.1,175,181,00:09:00,00:05:47,138,151,1.02,8.4,8.5,252,316,310,530,"4,880",00:27:55,00:27:56,727,785,00:00:01
Running,2024-07-24,7,Jul,2024,30,Charlotte Running,6.2,5-7 miles,3,724,00:53:52,01:21:48,27.93,02:52:02,118.17,154,172,3.8,175,182,00:08:41,00:05:03,174,190,1.06,8.2,8.7,249,322,319,554,"9,416",00:53:46,00:53:52,717,768,00:00:06
