Activity_Type,Date,Month_Numeric,Month,Year,Week_of_Year,Title,Distance,Distance_Group,DistanceGroupId,Calories,Time,Weekly_Cumulative_Mins,Weekly_Mins_Prior_to_Run,Monthly_Cumulative_Mins,Monthly_Mins_Prior_to_Run,Avg_HR,Max_HR,Aerobic_TE,Avg_Run_Cadence,Max_Run_Cadence,Avg_Pace,Best_Pace,Total_Ascent,Total_Descent,Avg_Stride_Length,Avg_Vertical_Ratio,Avg_Vertical_Oscillation,Avg_Ground_Contact_Time,Normalized_Power_NP,Avg_Power,Max_Power,Steps,Moving_Time,Elapsed_Time,Min_Elevation,Max_Elevation,Idle_Time
Running,2024-06-18,6,Jun,2024,25,Charlotte Running,3.0,3-5 miles,2,323,00:21:51,02:05:08,103.28,03:28:50,186.98,167,183,3.4,181,192,00:07:17,00:05:03,105,108,1.22,7.2,8.8,227,388,382,530,"3,946",00:21:43,00:21:51,738,780,00:00:08
Running,2024-06-15,6,Jun,2024,24,Charlotte Running,7.01,7-10 miles,4,831,01:00:52,01:00:52,0.0,04:29:42,208.83,159,172,3.9,173,184,00:08:41,00:05:59,371,371,1.06,8.2,8.8,252,332,326,495,"10,548",01:00:43,01:01:27,665,773,00:00:44
Running,2024-06-13,6,Jun,2024,24,Charlotte Running,3.0,3-5 miles,2,338,00:24:06,01:24:58,60.87,04:53:48,269.7,159,173,3.2,177,186,00:08:01,00:06:12,131,115,1.13,7.7,8.7,239,359,352,472,"4,268",00:24:01,00:24:09,730,768,00:00:08
Running,2024-06-12,6,Jun,2024,24,Charlotte Running,3.02,3-5 miles,2,334,00:24:36,01:49:34,84.97,05:18:24,293.8,155,172,3.1,177,188,00:08:08,00:06:54,240,230,1.1,7.8,8.6,242,360,348,501,"4,358",00:24:35,00:24:36,661,770,00:00:01
Running,2024-06-11,6,Jun,2024,24,Charlotte Running,3.01,3-5 miles,2,323,00:23:07,02:12:41,109.57,05:41:31,318.4,158,173,3.3,177,189,00:07:41,00:05:36,128,102,1.2,7.5,8.9,234,380,372,501,"4,096",00:22:56,00:23:07,686,736,00:00:11
Running,2024-06-08,6,Jun,2024,23,Charlotte Running,6.01,5-7 miles,3,766,00:54:28,00:54:28,0.0,06:35:59,341.52,167,184,3.9,163,235,00:09:04,00:05:29,335,318,1.11,8.0,8.9,247,340,318,568,"8,958",00:52:19,01:21:34,721,835,00:29:15
Running,2024-06-06,6,Jun,2024,23,Charlotte Running,3.01,3-5 miles,2,329,00:23:15,01:17:43,54.47,06:59:14,395.98,166,184,3.4,176,188,00:07:44,00:06:16,197,194,1.17,7.7,9.0,239,374,364,503,"4,098",00:23:13,00:23:15,683,781,00:00:02
Running,2024-06-05,6,Jun,2024,23,Charlotte Running,3.09,3-5 miles,2,325,00:23:29,01:41:12,77.72,07:22:43,419.23,162,175,3.3,180,188,00:07:36,00:06:28,213,220,1.17,7.4,8.7,232,375,364,514,"4,234",00:23:28,00:23:31,678,778,00:00:03
Running,2024-06-04,6,Jun,2024,23,Charlotte Running,0.47,0-3 miles,1,52,00:03:38,01:44:50,101.2,07:26:21,442.72,167,174,1.5,165,180,00:07:45,00:06:15,26,36,1.23,7.8,9.4,243,356,336,464,614,00:03:34,00:03:38,789,835,00:00:04
Running,2024-06-04,6,Jun,2024,23,Charlotte Running,3.13,3-5 miles,2,351,00:25:18,02:10:08,104.83,07:51:39,446.35,160,182,3.3,172,184,00:08:04,00:05:25,154,144,1.16,8.0,9.2,246,361,352,527,"4,348",00:25:11,00:25:18,698,785,00:00:07
Running,2024-05-22,5,May,2024,21,Charlotte Running,5.01,5-7 miles,3,594,00:42:14,00:42:14,0.0,00:42:14,0.0,171,183,3.9,173,180,00:08:26,00:07:12,348,361,1.1,8.1,8.9,250,346,338,460,"7,302",00:42:12,00:42:14,666,769,00:00:02
Running,2024-05-20,5,May,2024,21,Charlotte Running,5.01,5-7 miles,3,599,00:41:15,01:23:29,42.23,01:23:29,42.23,177,189,4.3,173,180,00:08:14,00:05:35,49,49,1.13,8.1,9.1,248,351,346,553,"7,124",00:41:08,00:41:15,744,766,00:00:07
Running,2024-05-14,5,May,2024,20,Mt Pleasant Running,5.01,5-7 miles,3,552,00:39:18,00:39:18,0.0,02:02:47,83.48,166,193,4.1,173,190,00:07:51,00:06:07,3,7,1.18,7.8,9.2,244,361,354,485,"6,802",00:39:00,00:39:18,5,14,00:00:18
Running,2024-05-12,5,May,2024,19,Mt Pleasant Running,2.3,0-3 miles,1,255,00:18:15,00:18:15,0.0,02:21:02,122.78,165,176,3.1,175,186,00:07:57,00:07:08,--,--,1.15,7.8,9.0,242,345,343,391,"3,200",00:18:10,00:18:15,10,17,00:00:05
Running,2024-05-08,5,May,2024,19,Charlotte Running,5.05,5-7 miles,3,582,00:41:52,01:00:07,18.25,03:02:54,141.03,167,187,4.0,174,186,00:08:18,00:06:28,331,331,1.11,8.0,8.9,247,349,343,538,"7,284",00:41:45,00:41:52,657,765,00:00:07
Running,2024-05-06,5,May,2024,19,Charlotte Running,1.01,0-3 miles,1,110,00:07:47,01:07:54,60.12,03:10:41,182.9,164,177,2.2,175,186,00:07:44,00:06:32,56,72,1.16,7.6,8.8,237,369,353,487,"1,378",00:07:41,00:07:47,656,732,00:00:06
Running,2024-05-06,5,May,2024,19,Charlotte Running,3.01,3-5 miles,2,321,00:23:07,01:31:01,67.9,03:33:48,190.68,161,179,3.2,178,188,00:07:41,00:06:10,187,190,1.17,7.6,8.9,236,375,365,524,"4,098",00:23:04,00:23:07,648,755,00:00:03
Running,2024-05-01,5,May,2024,18,Charlotte Running,10.01,10-13 miles,5,"1,218",01:25:22,01:25:22,0.0,04:59:10,213.8,176,182,5.0,172,189,00:08:32,00:06:58,387,381,1.09,8.2,9.0,251,333,329,448,"14,690",01:25:05,01:25:22,658,774,00:00:17
Running,2024-04-29,4,Apr,2024,18,Charlotte Running,5.27,5-7 miles,3,619,00:44:21,02:09:43,85.37,00:44:21,0.0,167,182,3.9,174,181,00:08:25,00:07:35,400,387,1.09,8.1,8.8,248,351,341,503,"7,732",00:44:20,00:44:21,669,770,00:00:01
Running,2024-04-26,4,Apr,2024,17,Charlotte Running,4.25,3-5 miles,2,437,00:35:40,00:35:40,0.0,01:20:01,44.35,145,171,3.2,178,188,00:08:23,00:07:02,289,305,1.07,7.9,8.4,242,342,333,502,"6,356",00:35:26,00:41:04,661,764,00:05:38
Running,2024-04-24,4,Apr,2024,17,Charlotte Running,8.01,7-10 miles,4,975,01:07:39,01:43:19,35.67,02:27:40,80.02,174,185,5.0,175,239,00:08:27,00:05:19,62,52,1.09,8.0,8.8,247,331,329,523,"11,788",01:07:33,01:07:39,743,767,00:00:06
Running,2024-04-22,4,Apr,2024,17,Charlotte Running,5.06,5-7 miles,3,525,00:44:01,02:27:20,103.32,03:11:41,147.67,141,148,3.1,168,185,00:08:42,00:05:32,52,39,1.1,8.1,8.9,250,332,319,535,"7,414",00:43:02,00:44:01,749,781,00:00:59
Running,2024-04-21,4,Apr,2024,16,Charlotte Running,3.0,3-5 miles,2,303,00:24:40,00:24:40,0.0,03:36:21,191.68,142,160,2.9,175,184,00:08:12,00:07:19,233,197,1.12,7.9,8.9,245,363,352,505,"4,308",00:24:32,00:24:40,657,757,00:00:08
Running,2024-04-19,4,Apr,2024,16,Charlotte Running,3.02,3-5 miles,2,280,00:24:43,00:49:23,24.67,04:01:04,216.35,132,140,2.4,176,184,00:08:11,00:07:20,187,187,1.11,7.9,8.7,242,358,345,488,"4,366",00:24:35,00:24:45,663,755,00:00:10
Running,2024-04-17,4,Apr,2024,16,Charlotte Running,5.01,5-7 miles,3,614,00:42:56,01:32:19,49.38,04:44:00,241.07,175,188,4.3,171,181,00:08:34,00:06:05,72,59,1.1,8.2,9.0,251,336,333,486,"7,376",00:42:48,00:42:56,743,771,00:00:08
Running,2024-04-15,4,Apr,2024,16,Charlotte Running,4.5,3-5 miles,2,539,00:38:17,02:10:36,92.32,05:22:17,284.0,170,188,4.1,168,178,00:08:30,00:05:54,62,39,1.13,8.1,9.2,251,342,333,530,"6,466",00:37:30,00:38:17,745,778,00:00:47
Treadmill Running,2024-04-13,4,Apr,2024,15,Treadmill Running,3.02,3-5 miles,2,325,00:24:51,00:24:51,0.0,05:47:08,322.28,157,164,3.1,178,184,00:08:14,00:07:40,--,--,1.09,7.8,8.5,241,325,324,361,"4,434",00:24:44,00:24:51,--,--,00:00:07
Running,2024-04-11,4,Apr,2024,15,Charlotte Running,3.01,3-5 miles,2,287,00:23:15,00:48:06,24.85,06:10:23,347.13,144,180,2.9,176,198,00:07:44,00:06:04,213,262,1.17,7.6,8.9,238,381,366,539,"4,110",00:23:10,00:23:15,673,772,00:00:05
Running,2024-04-10,4,Apr,2024,15,Charlotte Running,4.01,3-5 miles,2,403,00:32:44,01:20:50,48.1,06:43:07,370.38,147,180,3.3,175,180,00:08:09,00:07:21,240,243,1.13,7.9,8.9,244,360,351,488,"5,726",00:32:35,00:32:44,667,765,00:00:09
Treadmill Running,2024-03-19,3,Mar,2024,12,Treadmill Running,3.1,3-5 miles,2,306,00:21:48,00:21:48,0.0,00:21:48,0.0,173,188,3.5,187,198,00:07:02,00:05:28,--,--,1.22,6.9,8.5,219,374,371,485,"4,054",00:21:44,00:21:48,--,--,00:00:04
Running,2024-03-14,3,Mar,2024,11,Charlotte Running,3.01,3-5 miles,2,332,00:23:58,00:23:58,0.0,00:45:46,21.8,170,186,3.6,174,188,00:07:58,00:06:34,167,200,1.17,7.8,9.0,241,368,352,503,"4,174",00:23:29,00:23:58,669,765,00:00:29
Treadmill Running,2024-02-13,2,Feb,2024,7,Treadmill Running,4.09,3-5 miles,2,454,00:33:39,00:33:39,0.0,00:33:39,0.0,168,175,3.7,175,181,00:08:14,00:07:53,--,--,1.12,7.9,8.8,243,328,324,345,"5,876",00:33:15,00:33:39,--,--,00:00:24
Treadmill Running,2024-02-04,2,Feb,2024,5,Treadmill Running,10.39,10-13 miles,5,"1,053",01:23:42,01:23:42,0.0,01:57:21,33.65,162,171,4.2,173,240,00:08:03,00:07:18,--,--,1.15,7.9,9.1,244,335,333,384,"14,458",01:22:54,01:23:42,--,--,00:00:48
Treadmill Running,2024-01-20,1,Jan,2024,3,Treadmill Running,7.42,7-10 miles,4,748,00:58:14,00:58:14,0.0,00:58:14,0.0,161,175,3.9,177,182,00:07:51,00:07:21,--,--,1.16,7.7,8.9,239,341,339,390,"10,274",00:58:03,00:58:14,--,--,00:00:11
Running,2024-01-13,1,Jan,2024,2,Charlotte Running,6.2,5-7 miles,3,737,00:50:54,00:50:54,0.0,01:49:08,58.23,178,205,5.0,176,185,00:08:12,00:06:31,456,476,1.11,7.9,8.7,243,362,353,511,"8,970",00:50:48,00:50:54,640,752,00:00:06
Treadmill Running,2024-01-08,1,Jan,2024,2,Treadmill Running,2.7,0-3 miles,1,301,00:21:58,01:12:52,50.9,02:11:06,109.13,169,173,3.2,175,182,00:08:07,00:07:36,--,--,1.13,7.7,8.7,239,336,328,367,"3,850",00:21:33,00:21:58,--,--,00:00:25
Treadmill Running,2024-01-03,1,Jan,2024,1,Treadmill Running,3.01,3-5 miles,2,357,00:23:53,00:23:53,0.0,02:34:59,131.1,178,194,3.8,177,180,00:07:56,00:07:35,--,--,1.14,7.7,8.8,239,338,335,376,"4,220",00:23:45,00:23:53,--,--,00:00:08
Treadmill Running,2023-12-06,12,Dec,2023,49,Treadmill Running,0.77,0-3 miles,1,104,00:14:28,00:14:28,0.0,00:14:28,0.0,111,119,0.4,130,134,00:18:48,00:17:51,--,--,0.66,9.1,6.0,432,127,125,135,"1,890",00:14:21,00:14:28,--,--,00:00:07
Treadmill Running,2023-12-04,12,Dec,2023,49,Treadmill Running,2.6,0-3 miles,1,283,00:20:32,00:35:00,14.47,00:35:00,14.47,160,170,3.0,174,180,00:07:54,00:05:56,--,--,1.38,7.1,9.8,226,403,398,464,"3,566",00:20:21,00:20:32,--,--,00:00:11
